AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
2562085.01231,6397.72014,147,14436317,16,M18S,20E,20,-119.82478,36.35162,M,18S,M18S20E20,M18S20E,16M18S20E20
2618547.48668,6474.75580,148,14639931,16,M18S,19E,24,-119.85925,36.35205,M,18S,M18S19E24,M18S19E,16M18S19E24
2701212.67358,6580.16778,149,14639933,16,M18S,19E,21,-119.91331,36.35172,M,18S,M18S19E21,M18S19E,16M18S19E21
2696733.64236,6574.12099,150,14639934,16,M18S,19E,22,-119.89532,36.35174,M,18S,M18S19E22,M18S19E,16M18S19E22
2644565.47423,6507.24105,151,14639935,16,M18S,19E,23,-119.87724,36.35209,M,18S,M18S19E23,M18S19E,16M18S19E23
2577117.13611,6429.46134,152,14639939,16,M18S,22E,24,-119.53709,36.35101,M,18S,M18S22E24,M18S22E,16M18S22E24
2603549.56091,6455.64981,153,14639940,16,M18S,23E,19,-119.51916,36.35091,M,18S,M18S23E19,M18S23E,16M18S23E19
2597242.91199,6446.33930,154,14436330,16,M18S,22E,23,-119.55498,36.35096,M,18S,M18S22E23,M18S22E,16M18S22E23
2540041.74109,6375.91671,155,14639952,16,M18S,23E,20,-119.50115,36.35070,M,18S,M18S23E20,M18S23E,16M18S23E20
2592246.74973,6440.30053,156,14436342,16,M18S,22E,22,-119.57294,36.35086,M,18S,M18S22E22,M18S22E,16M18S22E22
2528456.69244,6363.45951,157,14639958,16,M18S,23E,21,-119.48331,36.35027,M,18S,M18S23E21,M18S23E,16M18S23E21
2633022.51591,6488.93552,158,14436348,16,M18S,21E,24,-119.64502,36.35095,M,18S,M18S21E24,M18S21E,16M18S21E24
2621706.53053,6478.81033,159,14436349,16,M18S,22E,19,-119.62697,36.35090,M,18S,M18S22E19,M18S22E,16M18S22E19
2562358.34744,6400.97446,160,14436352,16,M18S,22E,21,-119.59086,36.35074,M,18S,M18S22E21,M18S22E,16M18S22E21
2599784.51523,6449.61896,161,14436356,16,M18S,21E,23,-119.66306,36.35093,M,18S,M18S21E23,M18S21E,16M18S21E23
2626608.10983,6485.20465,162,14436357,16,M18S,22E,20,-119.60887,36.35076,M,18S,M18S22E20,M18S22E,16M18S22E20
2601306.80331,6451.53944,163,14436361,16,M18S,21E,22,-119.68108,36.35091,M,18S,M18S21E22,M18S21E,16M18S21E22
2571191.38004,6414.00122,164,14436363,16,M18S,21E,21,-119.69904,36.35088,M,18S,M18S21E21,M18S21E,16M18S21E21
14301.78085,3262.98050,165,14639975,16,M18S,23E,22,-119.47440,36.35002,M,18S,M18S23E22,M18S23E,16M18S23E22
2599045.11333,6448.67512,166,14436368,16,M18S,21E,20,-119.71701,36.35085,M,18S,M18S21E20,M18S21E,16M18S21E20
2580473.17401,6425.67097,167,14436370,16,M18S,21E,19,-119.73495,36.35080,M,18S,M18S21E19,M18S21E,16M18S21E19
2626474.29942,6477.00266,168,14436372,16,M18S,20E,24,-119.75291,36.35083,M,18S,M18S20E24,M18S20E,16M18S20E24
2586454.94884,6432.25589,169,14639984,16,M18S,19E,20,-119.93127,36.35107,M,18S,M18S19E20,M18S19E,16M18S19E20
2588166.60512,6435.20274,170,14436374,16,M18S,20E,23,-119.77093,36.35086,M,18S,M18S20E23,M18S20E,16M18S20E23
2616430.86721,6476.80517,171,14639987,16,M18S,19E,19,-119.94922,36.35095,M,18S,M18S19E19,M18S19E,16M18S19E19
9255.66924,3274.38984,172,14639988,16,M18S,18E,24,-119.95827,36.35095,M,18S,M18S18E24,M18S18E,16M18S18E24
2584782.67455,6429.88281,173,14436379,16,M18S,20E,22,-119.78890,36.35085,M,18S,M18S20E22,M18S20E,16M18S20E22
2615674.77254,6470.83549,174,14436380,16,M18S,20E,21,-119.80702,36.35080,M,18S,M18S20E21,M18S20E,16M18S20E21
2683636.25277,6544.97450,175,14640240,16,M18S,19E,27,-119.89534,36.33714,M,18S,M18S19E27,M18S19E,16M18S19E27
2733115.07923,6613.83209,176,14640241,16,M18S,19E,26,-119.87728,36.33730,M,18S,M18S19E26,M18S19E,16M18S19E26
2580019.83887,6430.90302,177,14640243,16,M18S,23E,29,-119.50105,36.33645,M,18S,M18S23E29,M18S23E,16M18S23E29
2533706.46091,6372.30687,178,14640244,16,M18S,23E,28,-119.48329,36.33620,M,18S,M18S23E28,M18S23E,16M18S23E28
2738243.08705,6622.33767,179,14436634,16,M18S,19E,25,-119.85928,36.33694,M,18S,M18S19E25,M18S19E,16M18S19E25
2580557.55762,6417.23345,180,14640252,16,M18S,22E,25,-119.53712,36.33652,M,18S,M18S22E25,M18S22E,16M18S22E25
2618475.73114,6473.03846,181,14640254,16,M18S,23E,30,-119.51908,36.33644,M,18S,M18S23E30,M18S23E,16M18S23E30
2586232.98840,6458.03077,182,14436644,16,M18S,20E,30,-119.84197,36.33681,M,18S,M18S20E30,M18S20E,16M18S20E30
2575153.72879,6419.10035,183,14436646,16,M18S,22E,26,-119.55498,36.33645,M,18S,M18S22E26,M18S22E,16M18S22E26
2653930.51727,6537.46820,184,14436653,16,M18S,20E,29,-119.82470,36.33669,M,18S,M18S20E29,M18S20E,16M18S20E29
2599573.98560,6449.29836,185,14436656,16,M18S,22E,27,-119.57291,36.33633,M,18S,M18S22E27,M18S22E,16M18S22E27
2585754.06042,6432.45626,186,14436659,16,M18S,22E,28,-119.59083,36.33626,M,18S,M18S22E28,M18S22E,16M18S22E28
2648644.72569,6503.49577,187,14436662,16,M18S,22E,30,-119.62695,36.33625,M,18S,M18S22E30,M18S22E,16M18S22E30
2643215.08966,6503.38331,188,14436663,16,M18S,22E,29,-119.60883,36.33621,M,18S,M18S22E29,M18S22E,16M18S22E29
2642031.12730,6501.11807,189,14436664,16,M18S,21E,25,-119.64503,36.33629,M,18S,M18S21E25,M18S21E,16M18S21E25
2654823.42239,6517.47521,190,14436666,16,M18S,21E,27,-119.68103,36.33636,M,18S,M18S21E27,M18S21E,16M18S21E27
2608765.15218,6460.98967,191,14436667,16,M18S,21E,26,-119.66300,36.33633,M,18S,M18S21E26,M18S21E,16M18S21E26
2605776.48109,6457.19125,192,14436670,16,M18S,21E,28,-119.69905,36.33633,M,18S,M18S21E28,M18S21E,16M18S21E28
2634837.10263,6492.97398,193,14436672,16,M18S,21E,29,-119.71699,36.33631,M,18S,M18S21E29,M18S21E,16M18S21E29
2591195.57434,6439.13754,194,14436675,16,M18S,21E,30,-119.73491,36.33630,M,18S,M18S21E30,M18S21E,16M18S21E30
2611584.90860,6461.71626,195,14640287,16,M18S,19E,28,-119.91331,36.33657,M,18S,M18S19E28,M18S19E,16M18S19E28
15645.76917,3159.45681,196,14640289,16,M18S,23E,27,-119.47441,36.33562,M,18S,M18S23E27,M18S23E,16M18S23E27
2600791.94279,6453.62171,197,14640291,16,M18S,19E,29,-119.93121,36.33647,M,18S,M18S19E29,M18S19E,16M18S19E29
2599512.40556,6448.24310,198,14436681,16,M18S,20E,27,-119.78884,36.33637,M,18S,M18S20E27,M18S20E,16M18S20E27
2596702.81404,6445.61777,199,14436682,16,M18S,20E,26,-119.77084,36.33636,M,18S,M18S20E26,M18S20E,16M18S20E26
2604517.96823,6457.10995,200,14436683,16,M18S,20E,25,-119.75284,36.33630,M,18S,M18S20E25,M18S20E,16M18S20E25
2624257.16981,6473.63618,201,14640295,16,M18S,19E,30,-119.94914,36.33645,M,18S,M18S19E30,M18S19E,16M18S19E30
